Organisation-code,organisation_name_short,organisation_name_long,organisation_name_code,score,year,performance group
XM-DAC-576,UAE-MOFAIC,"United Arab Emirates, Ministry of Foreign Affairs and International Cooperation","UAE, MOFAIC",1.875,2018,Very poor
XM-DAC-576,UAE-MOFAIC,"United Arab Emirates, Ministry of Foreign Affairs and International Cooperation","UAE, MOFAIC",0,2016,Very poor
GB-GOV-1,"UK, FCDO","United Kingdom, Foreign, Commonwealth & Development Office","UK, FCDO",71.9,2022,Good
GB-GOV-1,UK-DFID,"United Kingdom, Foreign, Commonwealth & Development Office","UK, FCDO",85.43050565,2020,Very good
GB-GOV-1,UK-DFID,"United Kingdom, Foreign, Commonwealth & Development Office","UK, FCDO",90.93241589,2018,Very good
GB-GOV-1,UK-DFID,"United Kingdom, Foreign, Commonwealth & Development Office","UK, FCDO",88.3,2016,Very good
GB-GOV-1,UK-DFID,"United Kingdom, Foreign, Commonwealth & Development Office","UK, FCDO",,2015,Very good
GB-GOV-1,UK-DFID,"United Kingdom, Foreign, Commonwealth & Development Office","UK, FCDO",88.3,2014,Very good
GB-GOV-1,UK-DFID,"United Kingdom, Foreign, Commonwealth & Development Office","UK, FCDO",83.5,2013,Very good
XM-DAC-41122,UNICEF,United Nations Children's Fund (UNICEF),UNICEF,89.1,2022,Very Good
XM-DAC-41122,UNICEF,United Nations Children's Fund (UNICEF),UNICEF,92.87429826,2020,Very good
XM-DAC-41122,UNICEF,United Nations Children's Fund (UNICEF),UNICEF,78.14470024,2018,Good
XM-DAC-41122,UNICEF,United Nations Children's Fund (UNICEF),UNICEF,89.5,2016,Very good
XM-DAC-41122,UNICEF,United Nations Children's Fund (UNICEF),UNICEF,64.7,2014,Good
XM-DAC-41122,UNICEF,United Nations Children's Fund (UNICEF),UNICEF,44.3,2013,Fair
XM-DAC-41114,UNDP,United Nations Development Programme,UNDP,88.1,2022,Very Good
XM-DAC-41114,UNDP,United Nations Development Programme,UNDP,96.64467643,2020,Very good
XM-DAC-41114,UNDP,United Nations Development Programme,UNDP,95.48009968,2018,Very good
XM-DAC-41114,UNDP,United Nations Development Programme,UNDP,93.3,2016,Very good
XM-DAC-41114,UNDP,United Nations Development Programme,UNDP,90.6,2014,Very good
XM-DAC-41114,UNDP,United Nations Development Programme,UNDP,83.4,2013,Very good
XM-DAC-41127,UN OCHA,United Nations Office for the Coordination of Humanitarian Affairs,UN OCHA,85.9,2022,Very Good
XM-DAC-41127,UN OCHA,United Nations Office for the Coordination of Humanitarian Affairs,UN OCHA,73.95101793,2020,Good
XM-DAC-41127,UN OCHA,United Nations Office for the Coordination of Humanitarian Affairs,UN OCHA,32.7168301,2018,Poor
XM-DAC-41127,UN OCHA,United Nations Office for the Coordination of Humanitarian Affairs,UN OCHA,37,2016,Poor
XM-DAC-41127,UN OCHA,United Nations Office for the Coordination of Humanitarian Affairs,UN OCHA,41.3,2014,Fair
XM-DAC-41127,UN OCHA,United Nations Office for the Coordination of Humanitarian Affairs,UN OCHA,41.7,2013,Fair
US-GOV-1,US-USAID,United States Agency for International Development,"US, USAID",65.2,2022,Good
US-GOV-1,US-USAID,United States Agency for International Development,"US, USAID",76.68375102,2020,Good
US-GOV-1,US-USAID,United States Agency for International Development,"US, USAID",68.78521379,2018,Good
US-GOV-1,US-USAID,United States Agency for International Development,"US, USAID",59.1,2016,Fair
US-GOV-1,US-USAID,United States Agency for International Development,"US, USAID",,2015,Good
US-GOV-1,US-USAID,United States Agency for International Development,"US, USAID",40.3,2014,Fair
US-GOV-1,US-USAID,United States Agency for International Development,"US, USAID",44.3,2013,Fair
US-GOV-11,US-State,"United States, Department of State","US, State",58.0,2022,Fair
US-GOV-11,US-State,"United States, Department of State","US, State",63.23712731,2020,Good
US-GOV-11,US-State,"United States, Department of State","US, State",58.25448269,2018,Fair
US-GOV-11,US-State,"United States, Department of State","US, State",53.9,2016,Fair
US-GOV-11,US-State,"United States, Department of State","US, State",,2015,Fair
US-GOV-11,US-State,"United States, Department of State","US, State",38.8,2014,Poor
US-GOV-11,US-State,"United States, Department of State","US, State",22.1,2013,Poor
US-GOV-18,US-MCC,"United States, Millennium Challenge Corporation","US, MCC",92.0,2022,Very Good
US-GOV-18,US-MCC,"United States, Millennium Challenge Corporation","US, MCC",92.05134895,2020,Very good
US-GOV-18,US-MCC,"United States, Millennium Challenge Corporation","US, MCC",87.04563642,2018,Very good
US-GOV-18,US-MCC,"United States, Millennium Challenge Corporation","US, MCC",89.6,2016,Very good
US-GOV-18,US-MCC,"United States, Millennium Challenge Corporation","US, MCC",,2015,Very good
US-GOV-18,US-MCC,"United States, Millennium Challenge Corporation","US, MCC",86.9,2014,Very good
US-GOV-18,US-MCC,"United States, Millennium Challenge Corporation","US, MCC",88.9,2013,Very good
US-7,"US, Defense","US, Defense","US, Defense",39.82793031,2020,Poor
US-7,"US, Defense","US, Defense","US, Defense",48.68926708,2018,Fair
US-7,"US, Defense","US, Defense","US, Defense",46.7,2016,Fair
US-7,"US, Defense","US, Defense","US, Defense",,2015,Poor
US-7,"US, Defense","US, Defense","US, Defense",30.8,2014,Poor
US-7,"US, Defense","US, Defense","US, Defense",33.7,2013,Poor
US-14,"US, PEPFAR","US, PEPFAR","US, PEPFAR",68.6,2022,Good
US-14,"US, PEPFAR","US, PEPFAR","US, PEPFAR",59.7767942,2020,Fair
US-14,"US, PEPFAR","US, PEPFAR","US, PEPFAR",63.40030915,2018,Good
US-14,"US, PEPFAR","US, PEPFAR","US, PEPFAR",57.6,2016,Fair
US-14,"US, PEPFAR","US, PEPFAR","US, PEPFAR",,2015,Fair
US-14,"US, PEPFAR","US, PEPFAR","US, PEPFAR",40.7,2014,Fair
US-14,"US, PEPFAR","US, PEPFAR","US, PEPFAR",16.1,2013,Very poor
,"US, Treasury","US, Treasury","US, Treasury",58.1,2016,Fair
,"US, Treasury","US, Treasury","US, Treasury",,2015,Poor
,"US, Treasury","US, Treasury","US, Treasury",34.8,2014,Poor
,"US, Treasury","US, Treasury","US, Treasury",47.4,2013,Fair
44002,World Bank-IDA,World Bank International Development Association ,"World Bank, IDA",97.1,2022,Very Good
44002,World Bank-IDA,World Bank International Development Association ,"World Bank, IDA",97.13614467,2020,Very good
44002,World Bank-IDA,World Bank International Development Association ,"World Bank, IDA",86.09875965,2018,Very good
44002,World Bank-IDA,World Bank International Development Association ,"World Bank, IDA",86.1,2016,Very good
44002,World Bank-IDA,World Bank International Development Association ,"World Bank, IDA",82.3,2014,Very good
44002,World Bank-IDA,World Bank International Development Association ,"World Bank, IDA",73.8,2013,Good
44004,World Bank-IFC,World Bank International Finance Corporation,"World Bank, IFC",53.0,2022,Fair
44004,World Bank-IFC,World Bank International Finance Corporation,"World Bank, IFC",58.13292577,2020,Fair
44004,World Bank-IFC,World Bank International Finance Corporation,"World Bank, IFC",52.08483746,2018,Fair
44004,World Bank-IFC,World Bank International Finance Corporation,"World Bank, IFC",30.9,2016,Poor
44004,World Bank-IFC,World Bank International Finance Corporation,"World Bank, IFC",30.6,2014,Poor
44004,World Bank-IFC,World Bank International Finance Corporation,"World Bank, IFC",30.1,2013,Poor
XM-DAC-928,WHO,World Health Organisation,WHO,69.3,2022,Good
