id,organisation_code,organisation_name_short,organisation_name_long,organisation_name_code,indicator_total_weighted_points,indicator_id,indicator_name,indicator_category_name,indicator_subcategory_name,indicator_category_subcategory,indicator_order,indicator_weight,iati_manual,publication_format,publication_format_points,total_points,iati_data_quality_points,iati_data_quality_frequency,iati_data_quality_frequency_value,iati_data_quality_frequency_multiplier,iati_data_quality_total_points,survey_publication_status,survey_publication_status_value,survey_ordinal_value,survey_publication_format,survey_publication_format_value,survey_total_points
46015-sovereign-location,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,3.437661111,location,Location,activity,Project attributes,activity-Project attributes,23.1,0.035,iati,iati,33.33,98.21888889,64.88888889,monthly,1,1,64.88888889,,,,,,0
46015-sovereign-location-with-activity-scope-exclusion-,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,0,location-with-activity-scope-exclusion-,Location (with activity-scope exclusion),activity,Project attributes,activity-Project attributes,23.2,0.035,manual,website,,0,0,monthly,1,1,0,not published,0,,website,33.33,0
46015-sovereign-networked-data-implementors,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,1.999933333,networked-data-implementors,Networked Data - Implementors,activity,Joining-up development data,activity-Joining-up development data,30.1,0.02,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46015-sovereign-networked-data-participating-orgs,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,0,networked-data-participating-orgs,Networked Data - Participating Orgs,activity,Joining-up development data,activity-Joining-up development data,30.2,0.02,manual,website,0,0,0,monthly,1,1,0,not published,0,,website,33.33,0
46015-sovereign-networked-data-transactions-with-valid-receiver,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,0,networked-data-transactions-with-valid-receiver,Networked Data - Transactions with valid receiver,activity,Joining-up development data,activity-Joining-up development data,30.3,0.01,manual,website,0,0,0,monthly,1,1,0,not published,0,,website,33.33,0
46015-sovereign-objectives,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,4.999833333,objectives,Objectives,activity,Performance,activity-Performance,32,0.05,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46015-sovereign-organisation-strategy,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,1.8749375,organisation-strategy,Organisation strategy,,Organisational planning and commitments,#NAME?,3,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46015-sovereign-planned-dates,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,0.999966667,planned-dates,Planned dates,activity,Project attributes,activity-Project attributes,18,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46015-sovereign-impact-appraisals,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,4.999833333,impact-appraisals,Pre-project impact appraisals,activity,Performance,activity-Performance,33,0.05,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46015-sovereign-procurement-policy,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,1.8749375,procurement-policy,Procurement policy,,Organisational planning and commitments,#NAME?,6,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46015-sovereign-project-budget,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,0,project-budget,Project budget,activity,Finance and budgets,activity-Finance and budgets,11,0.033333335,manual,website,0,0,0,monthly,1,1,0,sometimes,0,,website,33.33,0
46015-sovereign-project-budget-document,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,0,project-budget-document,Project budget document,activity,Finance and budgets,activity-Finance and budgets,12,0.033333335,manual,document,0,0,0,monthly,1,1,0,not published,0,,document,50,0
46015-sovereign-project-procurement-contracts,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,1,project-procurement-contracts,Project procurement - Contracts,activity,Joining-up development data,activity-Joining-up development data,31.1,0.02,manual,document,50,50,0,monthly,1,1,0,always,1,,document,50,50
46015-sovereign-project-procurement-tenders,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,0.999966667,project-procurement-tenders,Project procurement - Tenders,activity,Joining-up development data,activity-Joining-up development data,31.2,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46015-sovereign-foia,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,0,foia,Quality of FOI legislation,commitment,Organisational planning and commitments,commitment-Organisational planning and commitments,1,0.01875,manual,not-applicable,0,0,0,monthly,1,1,0,,0,0,,0,0
46015-sovereign-results,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,0,results,Results,activity,Performance,activity-Performance,35,0.05,manual,website,0,0,0,monthly,1,1,0,sometimes,0,,website,33.33,0
46015-sovereign-reviews-and-evaluations,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,0,reviews-and-evaluations,Reviews and evaluations,activity,Performance,activity-Performance,34,0.05,manual,document,0,0,0,monthly,1,1,0,sometimes,0,,document,50,0
46015-sovereign-sector,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,2.499916667,sector,Sectors,activity,Project attributes,activity-Project attributes,22,0.025,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46015-sovereign-country-strategy-or-mou,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,1.470525735,country-strategy-or-mou,Strategy (country/sector) or Memorandum of Understanding,,Organisational planning and commitments,#NAME?,7,0.01875,iati,iati,33.33,78.42803922,45.09803922,monthly,1,1,45.09803922,,,,,,0
46015-sovereign-tied-aid-status,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,2.9999,tied-aid-status,Tied aid status,activity,Joining-up development data,activity-Joining-up development data,29,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46015-sovereign-title,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,0.999966667,title,Title,activity,Project attributes,activity-Project attributes,16,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46015-sovereign-total-organisation-budget,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,4.166527911,total-organisation-budget,Total organisation budget,,Finance and budgets,#NAME?,9,0.041666668,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46015-sovereign-unique-id,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,2.499916667,unique-id,Unique ID,activity,Project attributes,activity-Project attributes,25,0.025,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
46015-sovereign-disaggregated-budgets,46015-sovereign,EBRD - Sovereign,European Bank for Reconstruction and Development – Sovereign Portfolio,EBRD - Sovereign,0,disaggregated-budgets,Disaggregated budget,,Finance and budgets,#NAME?,10,0.041666668,manual,website,0,0,0,monthly,1,1,0,,0,0,website,33.33,0
XI-IATI-EC_ECHO-disaggregated-budgets,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",1.722417055,disaggregated-budgets,Disaggregated budget,,Finance and budgets,#NAME?,10,0.041666668,iati,iati,33.33,41.33800801,8.008008008,monthly,1,1,8.008008008,,,,,,0
XI-IATI-EC_ECHO-budget-alignment,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",3.33086501,budget-alignment,Budget Alignment,activity,Finance and budgets,activity-Finance and budgets,15,0.033333335,iati,iati,33.33,99.92594531,66.59594531,monthly,1,1,66.59594531,,,,,,0
XI-IATI-EC_ECHO-accessibility,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",1.875,accessibility,Accessibility,commitment,Organisational planning and commitments,commitment-Organisational planning and commitments,2,0.01875,manual,not-applicable,100,100,0,monthly,1,1,0,,0,100,,0,100
XI-IATI-EC_ECHO-actual-dates,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",0.999259453,actual-dates,Actual dates,activity,Project attributes,activity-Project attributes,19,0.01,iati,iati,33.33,99.92594531,66.59594531,monthly,1,1,66.59594531,,,,,,0
XI-IATI-EC_ECHO-aid-type,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",2.9999,aid-type,Aid type,activity,Joining-up development data,activity-Joining-up development data,27,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_ECHO-allocation-policy,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",0.9375,allocation-policy,Allocation policy,,Organisational planning and commitments,#NAME?,5,0.01875,manual,document,50,50,0,monthly,1,1,0,always,1,,document,50,50
XI-IATI-EC_ECHO-annual-report,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",1.8749375,annual-report,Annual report,,Organisational planning and commitments,#NAME?,4,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_ECHO-audit,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",0.9375,audit,Audit,,Organisational planning and commitments,#NAME?,8,0.01875,manual,document,50,50,0,monthly,1,1,0,always,1,,document,50,50
XI-IATI-EC_ECHO-commitments,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",3.237355655,commitments,Commitments,activity,Finance and budgets,activity-Finance and budgets,13,0.033333335,iati,iati,33.33,97.12066478,63.79066478,monthly,1,1,63.79066478,,,,,,0
XI-IATI-EC_ECHO-conditions,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",3.499883333,conditions,Conditions,activity,Project attributes,activity-Project attributes,24,0.035,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_ECHO-contact-details,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",0.999966667,contact-details,Contact details,activity,Project attributes,activity-Project attributes,21,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_ECHO-current-status,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",0.999966667,current-status,Current status,activity,Project attributes,activity-Project attributes,20,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_ECHO-description,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",0,description,Description,activity,Project attributes,activity-Project attributes,17,0.03,manual,website,0,0,0,monthly,1,1,0,sometimes,0,,website,33.33,0
XI-IATI-EC_ECHO-disbursements-and-expenditures,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",3.305300896,disbursements-and-expenditures,Disbursements and expenditures,activity,Finance and budgets,activity-Finance and budgets,14,0.033333335,iati,iati,33.33,99.15902193,65.82902193,monthly,1,1,65.82902193,,,,,,0
XI-IATI-EC_ECHO-finance-type,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",2.9999,finance-type,Finance type,activity,Joining-up development data,activity-Joining-up development data,28,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_ECHO-flow-type,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",2.9999,flow-type,Flow type,activity,Joining-up development data,activity-Joining-up development data,26,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_ECHO-location,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",0,location,Location,activity,Project attributes,activity-Project attributes,23.1,0.035,manual,website,0,0,0,monthly,1,1,0,sometimes,0,,website,33.33,0
XI-IATI-EC_ECHO-location-with-activity-scope-exclusion-,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",0,location-with-activity-scope-exclusion-,Location (with activity-scope exclusion),activity,Project attributes,activity-Project attributes,23.2,0.035,manual,website,,0,0,monthly,1,1,0,not published,0,,website,33.33,0
XI-IATI-EC_ECHO-networked-data-implementors,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",1.999933333,networked-data-implementors,Networked Data - Implementors,activity,Joining-up development data,activity-Joining-up development data,30.1,0.02,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_ECHO-networked-data-participating-orgs,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",1.585052821,networked-data-participating-orgs,Networked Data - Participating Orgs,activity,Joining-up development data,activity-Joining-up development data,30.2,0.02,iati,iati,33.33,79.25264104,45.92264104,monthly,1,1,45.92264104,,,,,,0
XI-IATI-EC_ECHO-networked-data-transactions-with-valid-receiver,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",0.999966667,networked-data-transactions-with-valid-receiver,Networked Data - Transactions with valid receiver,activity,Joining-up development data,activity-Joining-up development data,30.3,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_ECHO-objectives,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",4.999833333,objectives,Objectives,activity,Performance,activity-Performance,32,0.05,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_ECHO-organisation-strategy,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",1.8749375,organisation-strategy,Organisation strategy,,Organisational planning and commitments,#NAME?,3,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_ECHO-planned-dates,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",0.999730929,planned-dates,Planned dates,activity,Project attributes,activity-Project attributes,18,0.01,iati,iati,33.33,99.97309288,66.64309288,monthly,1,1,66.64309288,,,,,,0
XI-IATI-EC_ECHO-impact-appraisals,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",4.768810231,impact-appraisals,Pre-project impact appraisals,activity,Performance,activity-Performance,33,0.05,iati,iati,33.33,95.37620462,62.04620462,monthly,1,1,62.04620462,,,,,,0
XI-IATI-EC_ECHO-procurement-policy,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",0.9375,procurement-policy,Procurement policy,,Organisational planning and commitments,#NAME?,6,0.01875,manual,document,50,50,0,monthly,1,1,0,always,1,,document,50,50
XI-IATI-EC_ECHO-project-budget,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",3.333222389,project-budget,Project budget,activity,Finance and budgets,activity-Finance and budgets,11,0.033333335,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_ECHO-project-budget-document,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",3.188687603,project-budget-document,Project budget document,activity,Finance and budgets,activity-Finance and budgets,12,0.033333335,iati,iati,33.33,95.66062331,62.33062331,monthly,1,1,62.33062331,,,,,,0
XI-IATI-EC_ECHO-project-procurement-contracts,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",1,project-procurement-contracts,Project procurement - Contracts,activity,Joining-up development data,activity-Joining-up development data,31.1,0.02,manual,document,50,50,0,monthly,1,1,0,always,1,,document,50,50
XI-IATI-EC_ECHO-project-procurement-tenders,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",0.999966667,project-procurement-tenders,Project procurement - Tenders,activity,Joining-up development data,activity-Joining-up development data,31.2,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_ECHO-foia,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",1.875,foia,Quality of FOI legislation,commitment,Organisational planning and commitments,commitment-Organisational planning and commitments,1,0.01875,manual,not-applicable,100,100,0,monthly,1,1,0,,0,100,,0,100
XI-IATI-EC_ECHO-results,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",0,results,Results,activity,Performance,activity-Performance,35,0.05,manual,website,0,0,0,monthly,1,1,0,not published,0,,website,33.33,0
XI-IATI-EC_ECHO-reviews-and-evaluations,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",0,reviews-and-evaluations,Reviews and evaluations,activity,Performance,activity-Performance,34,0.05,manual,document,0,0,0,monthly,1,1,0,sometimes,0,,document,50,0
XI-IATI-EC_ECHO-sector,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",2.499916667,sector,Sectors,activity,Project attributes,activity-Project attributes,22,0.025,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_ECHO-country-strategy-or-mou,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",1.4499375,country-strategy-or-mou,Strategy (country/sector) or Memorandum of Understanding,,Organisational planning and commitments,#NAME?,7,0.01875,iati,iati,33.33,77.33,44,monthly,1,1,44,,,,,,0
XI-IATI-EC_ECHO-tied-aid-status,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",2.9999,tied-aid-status,Tied aid status,activity,Joining-up development data,activity-Joining-up development data,29,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_ECHO-title,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",0.999495191,title,Title,activity,Project attributes,activity-Project attributes,16,0.01,iati,iati,33.33,99.94951909,66.61951909,monthly,1,1,66.61951909,,,,,,0
XI-IATI-EC_ECHO-total-organisation-budget,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",4.166527911,total-organisation-budget,Total organisation budget,,Finance and budgets,#NAME?,9,0.041666668,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_ECHO-unique-id,XI-IATI-EC_ECHO,EC-ECHO,"European Commission, European Civil Protection and Humanitarian Aid Operations","EC, ECHO",2.499916667,unique-id,Unique ID,activity,Project attributes,activity-Project attributes,25,0.025,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_INTPA-disaggregated-budgets,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",4.166527911,disaggregated-budgets,Disaggregated budget,,Finance and budgets,#NAME?,10,0.041666668,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_INTPA-budget-alignment,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",2.978422133,budget-alignment,Budget Alignment,activity,Finance and budgets,activity-Finance and budgets,15,0.033333335,iati,iati,33.33,89.35265951,56.02265951,monthly,1,1,56.02265951,,,,,,0
XI-IATI-EC_INTPA-accessibility,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",1.875,accessibility,Accessibility,commitment,Organisational planning and commitments,commitment-Organisational planning and commitments,2,0.01875,manual,not-applicable,100,100,0,monthly,1,1,0,,0,100,,0,100
XI-IATI-EC_INTPA-actual-dates,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",0.977889378,actual-dates,Actual dates,activity,Project attributes,activity-Project attributes,19,0.01,iati,iati,33.33,97.78893778,64.45893778,monthly,1,1,64.45893778,,,,,,0
XI-IATI-EC_INTPA-aid-type,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",2.9999,aid-type,Aid type,activity,Joining-up development data,activity-Joining-up development data,27,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_INTPA-allocation-policy,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",1.8749375,allocation-policy,Allocation policy,,Organisational planning and commitments,#NAME?,5,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_INTPA-annual-report,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",1.8749375,annual-report,Annual report,,Organisational planning and commitments,#NAME?,4,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_INTPA-audit,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",1.8749375,audit,Audit,,Organisational planning and commitments,#NAME?,8,0.01875,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_INTPA-commitments,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",3.313738021,commitments,Commitments,activity,Finance and budgets,activity-Finance and budgets,13,0.033333335,iati,iati,33.33,99.41213565,66.08213565,monthly,1,1,66.08213565,,,,,,0
XI-IATI-EC_INTPA-conditions,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",1.829259285,conditions,Conditions,activity,Project attributes,activity-Project attributes,24,0.035,iati,iati,33.33,52.26455099,18.93455099,monthly,1,1,18.93455099,,,,,,0
XI-IATI-EC_INTPA-contact-details,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",0.999966667,contact-details,Contact details,activity,Project attributes,activity-Project attributes,21,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_INTPA-current-status,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",0.999966667,current-status,Current status,activity,Project attributes,activity-Project attributes,20,0.01,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_INTPA-description,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",0,description,Description,activity,Project attributes,activity-Project attributes,17,0.03,manual,website,0,0,0,monthly,1,1,0,sometimes,0,,website,33.33,0
XI-IATI-EC_INTPA-disbursements-and-expenditures,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",3.114617545,disbursements-and-expenditures,Disbursements and expenditures,activity,Finance and budgets,activity-Finance and budgets,14,0.033333335,iati,iati,33.33,93.43852168,60.10852168,monthly,1,1,60.10852168,,,,,,0
XI-IATI-EC_INTPA-finance-type,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",2.9999,finance-type,Finance type,activity,Joining-up development data,activity-Joining-up development data,28,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_INTPA-flow-type,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",2.9999,flow-type,Flow type,activity,Joining-up development data,activity-Joining-up development data,26,0.03,iati,iati,33.33,99.99666667,66.66666667,monthly,1,1,66.66666667,,,,,,0
XI-IATI-EC_INTPA-location,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",2.333216667,location,Location,activity,Project attributes,activity-Project attributes,23.1,0.035,iati,iati,33.33,66.66333333,33.33333333,monthly,1,1,33.33333333,,,,,,0
XI-IATI-EC_INTPA-location-with-activity-scope-exclusion-,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",0,location-with-activity-scope-exclusion-,Location (with activity-scope exclusion),activity,Project attributes,activity-Project attributes,23.2,0.035,iati,iati,,0,0,monthly,1,1,0,,,,,,0
XI-IATI-EC_INTPA-networked-data-implementors,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",1.999621041,networked-data-implementors,Networked Data - Implementors,activity,Joining-up development data,activity-Joining-up development data,30.1,0.02,iati,iati,33.33,99.98105204,66.65105204,monthly,1,1,66.65105204,,,,,,0
XI-IATI-EC_INTPA-networked-data-participating-orgs,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",1.122616291,networked-data-participating-orgs,Networked Data - Participating Orgs,activity,Joining-up development data,activity-Joining-up development data,30.2,0.02,iati,iati,33.33,56.13081453,22.80081453,monthly,1,1,22.80081453,,,,,,0
XI-IATI-EC_INTPA-networked-data-transactions-with-valid-receiver,XI-IATI-EC_INTPA,EC-INTPA,"European Commission, Directorate-General for International Partnerships","EC, INTPA",0.987060327,networked-data-transactions-with-valid-receiver,Networked Data - Transactions with valid receiver,activity,Joining-up development data,activity-Joining-up development data,30.3,0.01,iati,iati,33.33,98.70603265,65.37603265,monthly,1,1,65.37603265,,,,,,0
