id,organisation_name,organisation_code,indicator_total_weighted_points,indicator_id,indicator_name,indicator_subcategory_name,indicator_order,indicator_weight,iati_manual,publication_format,publication_format_points,total_points,iati_data_quality_passed,iati_data_quality_points,iati_data_quality_frequency,iati_data_quality_frequency_value,iati_data_quality_frequency_multiplier,iati_data_quality_total_points,survey_publication_status,survey_publication_status_value,survey_ordinal_value,survey_publication_format,survey_publication_format_value,survey_total_points,survey_source
46015-non-sovereign-total-organisation-budget,EBRD - Non-Sov.,46015-non-sovereign,0,total-organisation-budget,Total organisation budget,Finance and budgets,9,0.041666668,manual,,0,0,0,0,monthly,1,1,0,,0,0,,0,0,https://www.gatesfoundation.org/our-work/places/africa/ethiopia
46015-non-sovereign-disaggregated-budgets,EBRD - Non-Sov.,46015-non-sovereign,0,disaggregated-budgets,Disaggregated budget,Finance and budgets,10,0.041666668,manual,pdf,0,0,0,0,monthly,1,1,0,,0,0,pdf,16.665,0,
46015-non-sovereign-project-budget,EBRD - Non-Sov.,46015-non-sovereign,1.111000056,project-budget,Project budget,Finance and budgets,11,0.033333335,manual,website,33.33,33.33,0,0,monthly,1,1,0,always,1,,website,33.33,33.33,
46015-non-sovereign-project-budget-document,EBRD - Non-Sov.,46015-non-sovereign,0,project-budget-document,Project budget document,Finance and budgets,12,0.033333335,manual,document,0,0,0,0,monthly,1,1,0,not published,0,,document,50,0,
46015-non-sovereign-project-procurement-contracts,EBRD - Non-Sov.,46015-non-sovereign,0,project-procurement-contracts,Project procurement - Contracts,Joining-up development data,32,0.02,manual,document,0,0,0,0,monthly,1,1,0,not published,0,,document,50,0,
46015-non-sovereign-project-procurement-tenders,EBRD - Non-Sov.,46015-non-sovereign,0,project-procurement-tenders,Project procurement - Tenders,Joining-up development data,33,0.01,manual,document,0,0,0,0,monthly,1,1,0,sometimes,0,,document,50,0,https://www.gatesfoundation.org/about/how-we-work/grant-opportunities
46015-non-sovereign-objectives,EBRD - Non-Sov.,46015-non-sovereign,2.5,objectives,Objectives,Performance,34,0.05,manual,document,50,50,0,0,monthly,1,1,0,always,1,,document,50,50,https://www.gatesfoundation.org/about/committed-grants
46015-non-sovereign-reviews-and-evaluations,EBRD - Non-Sov.,46015-non-sovereign,0,reviews-and-evaluations,Reviews and evaluations,Performance,36,0.05,manual,document,0,0,0,0,monthly,1,1,0,not published,0,,document,50,0,
46015-non-sovereign-results,EBRD - Non-Sov.,46015-non-sovereign,0,results,Results,Performance,37,0.05,manual,website,0,0,0,0,monthly,1,1,0,sometimes,0,,website,33.33,0,
46015-non-sovereign-networked-data-participating-orgs,EBRD - Non-Sov.,46015-non-sovereign,0,networked-data-participating-orgs,Networked Data - Participating Orgs,Joining-up development data,31,,manual,,0,0,0,0,monthly,1,1,0,,0,,,0,0,
46015-non-sovereign-foia,EBRD - Non-Sov.,46015-non-sovereign,0.6249375,foia,Quality of FOI legislation,Organisational planning and commitments,1,0.01875,manual,not-applicable,33.33,33.33,0,0,monthly,1,1,0,,0,33.33,,0,33.33,
46015-non-sovereign-accessibility,EBRD - Non-Sov.,46015-non-sovereign,0.6249375,accessibility,Accessibility,Organisational planning and commitments,2,0.01875,manual,not-applicable,33.33,33.33,0,0,monthly,1,1,0,,0,33.33,,0,33.33,https://www.gatesfoundation.org/about/committed-grants
46015-sovereign-organisation-strategy,EBRD - sovereign,46015-sovereign,1.874999994,organisation-strategy,Organisation strategy,Organisational planning and commitments,3,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-procurement-policy,EBRD - sovereign,46015-sovereign,1.874999994,procurement-policy,Procurement policy,Organisational planning and commitments,6,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-country-strategy-or-mou,EBRD - sovereign,46015-sovereign,1.739874994,country-strategy-or-mou,Strategy (country/sector) or Memorandum of Understanding,Organisational planning and commitments,7,0.01875,iati,iati,33.333333,92.793333,89.19,59.46,monthly,1,1,59.46,,,,,,0,
46015-sovereign-total-organisation-budget,EBRD - sovereign,46015-sovereign,2.314814875,total-organisation-budget,Total organisation budget,Finance and budgets,9,0.041666668,iati,iati,33.333333,55.55555522,33.33333333,22.22222222,monthly,1,1,22.22222222,,,,,,0,
46015-sovereign-commitments,EBRD - sovereign,46015-sovereign,3.333333489,commitments,Commitments,Finance and budgets,13,0.033333335,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-disbursements-and-expenditures,EBRD - sovereign,46015-sovereign,2.866789574,disbursements-and-expenditures,Disbursements and expenditures,Finance and budgets,14,0.033333335,iati,iati,33.333333,86.00368291,79.00552486,52.67034991,monthly,1,1,52.67034991,,,,,,0,
46015-sovereign-budget-alignment,EBRD - sovereign,46015-sovereign,1.688152314,budget-alignment,Budget Alignment,Finance and budgets,15,0.033333335,iati,iati,33.333333,50.64456689,25.96685083,17.31123389,monthly,1,1,17.31123389,,,,,,0,
46015-sovereign-title,EBRD - sovereign,46015-sovereign,0.999999997,title,Title,Project attributes,16,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-description,EBRD - sovereign,46015-sovereign,2.99999999,description,Description,Project attributes,17,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-planned-dates,EBRD - sovereign,46015-sovereign,0.999999997,planned-dates,Planned dates,Project attributes,18,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-actual-dates,EBRD - sovereign,46015-sovereign,0.999999997,actual-dates,Actual dates,Project attributes,19,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-current-status,EBRD - sovereign,46015-sovereign,0.999999997,current-status,Current status,Project attributes,20,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-contact-details,EBRD - sovereign,46015-sovereign,0.999999997,contact-details,Contact details,Project attributes,21,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-sector,EBRD - sovereign,46015-sovereign,2.499999992,sector,Sectors,Project attributes,22,0.025,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-sub-national-location,EBRD - sovereign,46015-sovereign,3.499999988,sub-national-location,Sub-national location,Project attributes,23,0.035,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-conditions,EBRD - sovereign,46015-sovereign,2.333333322,conditions,Conditions,Project attributes,24,0.035,iati,iati,33.333333,66.66666633,50,33.33333333,monthly,1,1,33.33333333,,,,,,0,
46015-sovereign-unique-id,EBRD - sovereign,46015-sovereign,2.499999992,unique-id,Unique ID,Project attributes,25,0.025,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-flow-type,EBRD - sovereign,46015-sovereign,2.99999999,flow-type,Flow type,Joining-up development data,26,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-aid-type,EBRD - sovereign,46015-sovereign,2.99999999,aid-type,Aid type,Joining-up development data,27,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-finance-type,EBRD - sovereign,46015-sovereign,2.99999999,finance-type,Finance type,Joining-up development data,28,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-tied-aid-status,EBRD - sovereign,46015-sovereign,2.99999999,tied-aid-status,Tied aid status,Joining-up development data,29,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-networked-data-implementors,EBRD - sovereign,46015-sovereign,4.999999983,networked-data-implementors,Networked Data - Implementors,Joining-up development data,30,0.05,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-project-procurement-tenders,EBRD - sovereign,46015-sovereign,0.999999997,project-procurement-tenders,Project procurement - Tenders,Joining-up development data,33,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-objectives,EBRD - sovereign,46015-sovereign,4.999999983,objectives,Objectives,Performance,34,0.05,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-impact-appraisals,EBRD - sovereign,46015-sovereign,4.999999983,impact-appraisals,Pre-project impact appraisals,Performance,35,0.05,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
46015-sovereign-annual-report,EBRD - sovereign,46015-sovereign,0.9375,annual-report,Annual report,Organisational planning and commitments,4,0.01875,manual,document,50,50,0,0,monthly,1,1,0,always,1,,document,50,50,
46015-sovereign-allocation-policy,EBRD - sovereign,46015-sovereign,0.9375,allocation-policy,Allocation policy,Organisational planning and commitments,5,0.01875,manual,document,50,50,0,0,monthly,1,1,0,always,1,,document,50,50,
46015-sovereign-audit,EBRD - sovereign,46015-sovereign,0.9375,audit,Audit,Organisational planning and commitments,8,0.01875,manual,document,50,50,0,0,monthly,1,1,0,always,1,,document,50,50,
46015-sovereign-disaggregated-budgets,EBRD - sovereign,46015-sovereign,0,disaggregated-budgets,Disaggregated budget,Finance and budgets,10,0.041666668,manual,pdf,0,0,0,0,monthly,1,1,0,,0,0,pdf,16.665,0,
46015-sovereign-project-budget,EBRD - sovereign,46015-sovereign,0,project-budget,Project budget,Finance and budgets,11,0.033333335,manual,website,0,0,0,0,monthly,1,1,0,not published,0,,website,33.33,0,
46015-sovereign-project-budget-document,EBRD - sovereign,46015-sovereign,0,project-budget-document,Project budget document,Finance and budgets,12,0.033333335,manual,document,0,0,0,0,monthly,1,1,0,not published,0,,document,50,0,
46015-sovereign-project-procurement-contracts,EBRD - sovereign,46015-sovereign,0,project-procurement-contracts,Project procurement - Contracts,Joining-up development data,32,0.02,manual,document,0,0,0,0,monthly,1,1,0,sometimes,0,,document,50,0,
46015-sovereign-results,EBRD - sovereign,46015-sovereign,0,results,Results,Performance,37,0.05,manual,website,0,0,0,0,monthly,1,1,0,sometimes,0,,website,33.33,0,https://search.open.canada.ca/en/ct/?sort=contract_date_s%20desc&page=1&search_text=&ct-search-orgs=Global%20Affairs%20Canada
46015-sovereign-networked-data-participating-orgs,EBRD - sovereign,46015-sovereign,0,networked-data-participating-orgs,Networked Data - Participating Orgs,Joining-up development data,31,,manual,,0,0,0,0,monthly,1,1,0,,0,,,0,0,https://buyandsell.gc.ca/procurement-data/tenders
46015-sovereign-reviews-and-evaluations,EBRD - sovereign,46015-sovereign,0,reviews-and-evaluations,Reviews and evaluations,Performance,36,0.05,manual,document,0,0,0,0,monthly,1,1,0,sometimes,0,,document,50,0,
46015-sovereign-foia,EBRD - sovereign,46015-sovereign,0.6249375,foia,Quality of FOI legislation,Organisational planning and commitments,1,0.01875,manual,not-applicable,33.33,33.33,0,0,monthly,1,1,0,,0,33.33,,0,33.33,
46015-sovereign-accessibility,EBRD - sovereign,46015-sovereign,0.6249375,accessibility,Accessibility,Organisational planning and commitments,2,0.01875,manual,not-applicable,33.33,33.33,0,0,monthly,1,1,0,,0,33.33,,0,33.33,https://w05.international.gc.ca/projectbrowser-banqueprojets/filter-filtre
XI-IATI-EC_ECHO-organisation-strategy,"EC, ECHO",XI-IATI-EC_ECHO,1.874999994,organisation-strategy,Organisation strategy,Organisational planning and commitments,3,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-allocation-policy,"EC, ECHO",XI-IATI-EC_ECHO,1.874999994,allocation-policy,Allocation policy,Organisational planning and commitments,5,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-procurement-policy,"EC, ECHO",XI-IATI-EC_ECHO,1.874999994,procurement-policy,Procurement policy,Organisational planning and commitments,6,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-country-strategy-or-mou,"EC, ECHO",XI-IATI-EC_ECHO,0.819499994,country-strategy-or-mou,Strategy (country/sector) or Memorandum of Understanding,Organisational planning and commitments,7,0.01875,iati,iati,33.333333,43.70666633,15.56,10.37333333,monthly,1,1,10.37333333,,,,,,0,
XI-IATI-EC_ECHO-audit,"EC, ECHO",XI-IATI-EC_ECHO,1.874999994,audit,Audit,Organisational planning and commitments,8,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-total-organisation-budget,"EC, ECHO",XI-IATI-EC_ECHO,4.166666786,total-organisation-budget,Total organisation budget,Finance and budgets,9,0.041666668,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-disaggregated-budgets,"EC, ECHO",XI-IATI-EC_ECHO,2.10916672,disaggregated-budgets,Disaggregated budget,Finance and budgets,10,0.041666668,iati,iati,33.333333,50.61999967,25.93,17.28666667,monthly,1,1,17.28666667,,,,,,0,
XI-IATI-EC_ECHO-project-budget,"EC, ECHO",XI-IATI-EC_ECHO,3.333333489,project-budget,Project budget,Finance and budgets,11,0.033333335,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-project-budget-document,"EC, ECHO",XI-IATI-EC_ECHO,2.971672305,project-budget-document,Project budget document,Finance and budgets,12,0.033333335,iati,iati,33.333333,89.15016468,83.72524752,55.81683168,monthly,1,1,55.81683168,,,,,,0,
XI-IATI-EC_ECHO-commitments,"EC, ECHO",XI-IATI-EC_ECHO,3.333333489,commitments,Commitments,Finance and budgets,13,0.033333335,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-disbursements-and-expenditures,"EC, ECHO",XI-IATI-EC_ECHO,3.26160262,disbursements-and-expenditures,Disbursements and expenditures,Finance and budgets,14,0.033333335,iati,iati,33.333333,97.84807369,96.77211104,64.51474069,monthly,1,1,64.51474069,,,,,,0,
XI-IATI-EC_ECHO-budget-alignment,"EC, ECHO",XI-IATI-EC_ECHO,3.329208076,budget-alignment,Budget Alignment,Finance and budgets,15,0.033333335,iati,iati,33.333333,99.87623729,99.81435644,66.54290429,monthly,1,1,66.54290429,,,,,,0,
XI-IATI-EC_ECHO-title,"EC, ECHO",XI-IATI-EC_ECHO,0.990099007,title,Title,Project attributes,16,0.01,iati,iati,33.333333,99.00990066,98.51485149,65.67656766,monthly,1,1,65.67656766,,,,,,0,
XI-IATI-EC_ECHO-planned-dates,"EC, ECHO",XI-IATI-EC_ECHO,0.998762373,planned-dates,Planned dates,Project attributes,18,0.01,iati,iati,33.333333,99.87623729,99.81435644,66.54290429,monthly,1,1,66.54290429,,,,,,0,
XI-IATI-EC_ECHO-actual-dates,"EC, ECHO",XI-IATI-EC_ECHO,0.998762373,actual-dates,Actual dates,Project attributes,19,0.01,iati,iati,33.333333,99.87623729,99.81435644,66.54290429,monthly,1,1,66.54290429,,,,,,0,
XI-IATI-EC_ECHO-current-status,"EC, ECHO",XI-IATI-EC_ECHO,0.999999997,current-status,Current status,Project attributes,20,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-contact-details,"EC, ECHO",XI-IATI-EC_ECHO,0.999999997,contact-details,Contact details,Project attributes,21,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-sector,"EC, ECHO",XI-IATI-EC_ECHO,2.499999992,sector,Sectors,Project attributes,22,0.025,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-conditions,"EC, ECHO",XI-IATI-EC_ECHO,3.499999988,conditions,Conditions,Project attributes,24,0.035,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-unique-id,"EC, ECHO",XI-IATI-EC_ECHO,2.499999992,unique-id,Unique ID,Project attributes,25,0.025,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-flow-type,"EC, ECHO",XI-IATI-EC_ECHO,2.99999999,flow-type,Flow type,Joining-up development data,26,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-aid-type,"EC, ECHO",XI-IATI-EC_ECHO,2.99999999,aid-type,Aid type,Joining-up development data,27,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-finance-type,"EC, ECHO",XI-IATI-EC_ECHO,2.99999999,finance-type,Finance type,Joining-up development data,28,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-tied-aid-status,"EC, ECHO",XI-IATI-EC_ECHO,2.99999999,tied-aid-status,Tied aid status,Joining-up development data,29,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-networked-data-implementors,"EC, ECHO",XI-IATI-EC_ECHO,3.333333489,networked-data-implementors,Networked Data - Implementors,Joining-up development data,30,0.033333335,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-networked-data-participating-orgs,"EC, ECHO",XI-IATI-EC_ECHO,1.32881439,networked-data-participating-orgs,Networked Data - Participating Orgs,Joining-up development data,31,0.016666668,iati,iati,33.333333,79.72885699,69.59328599,46.39552399,monthly,1,1,46.39552399,,,,,,0,
XI-IATI-EC_ECHO-project-procurement-tenders,"EC, ECHO",XI-IATI-EC_ECHO,0.999999997,project-procurement-tenders,Project procurement - Tenders,Joining-up development data,33,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-objectives,"EC, ECHO",XI-IATI-EC_ECHO,4.999999983,objectives,Objectives,Performance,34,0.05,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_ECHO-impact-appraisals,"EC, ECHO",XI-IATI-EC_ECHO,4.457508234,impact-appraisals,Pre-project impact appraisals,Performance,35,0.05,iati,iati,33.333333,89.15016468,83.72524752,55.81683168,monthly,1,1,55.81683168,,,,,,0,
XI-IATI-EC_ECHO-annual-report,"EC, ECHO",XI-IATI-EC_ECHO,0.9375,annual-report,Annual report,Organisational planning and commitments,4,0.01875,manual,document,50,50,0,0,monthly,1,1,0,always,1,,document,50,50,https://openaid.um.dk/organisations
XI-IATI-EC_ECHO-description,"EC, ECHO",XI-IATI-EC_ECHO,0,description,Description,Project attributes,17,0.03,manual,website,0,0,0,0,monthly,1,1,0,sometimes,0,,website,33.33,0,
XI-IATI-EC_ECHO-sub-national-location,"EC, ECHO",XI-IATI-EC_ECHO,0,sub-national-location,Sub-national location,Project attributes,23,0.035,manual,website,0,0,0,0,monthly,1,1,0,sometimes,0,,website,33.33,0,https://um.dk/en/about-us/procurement/contracts/short/contract-opportunitie/
XI-IATI-EC_ECHO-project-procurement-contracts,"EC, ECHO",XI-IATI-EC_ECHO,1,project-procurement-contracts,Project procurement - Contracts,Joining-up development data,32,0.02,manual,document,50,50,0,0,monthly,1,1,0,always,1,,document,50,50,https://openaid.um.dk
XI-IATI-EC_ECHO-reviews-and-evaluations,"EC, ECHO",XI-IATI-EC_ECHO,0,reviews-and-evaluations,Reviews and evaluations,Performance,36,0.05,manual,document,0,0,0,0,monthly,1,1,0,sometimes,0,,document,50,0,
XI-IATI-EC_ECHO-results,"EC, ECHO",XI-IATI-EC_ECHO,0,results,Results,Performance,37,0.05,manual,,0,0,0,0,monthly,1,1,0,sometimes,0,,,0,0,
XI-IATI-EC_ECHO-foia,"EC, ECHO",XI-IATI-EC_ECHO,1.875,foia,Quality of FOI legislation,Organisational planning and commitments,1,0.01875,manual,not-applicable,100,100,0,0,monthly,1,1,0,,0,100,,0,100,
XI-IATI-EC_ECHO-accessibility,"EC, ECHO",XI-IATI-EC_ECHO,1.875,accessibility,Accessibility,Organisational planning and commitments,2,0.01875,manual,not-applicable,100,100,0,0,monthly,1,1,0,,0,100,,0,100,https://openaid.um.dk/en/
XI-IATI-EC_INTPA-aid-type,"EC, INTPA",XI-IATI-EC_INTPA,2.999590456,aid-type,Aid type,Joining-up development data,27,0.03,iati,iati,33.333333,99.98634853,99.9795233,66.65301553,monthly,1,1,66.65301553,,,,,,0,
XI-IATI-EC_INTPA-organisation-strategy,"EC, INTPA",XI-IATI-EC_INTPA,1.874999994,organisation-strategy,Organisation strategy,Organisational planning and commitments,3,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_INTPA-project-budget-document,"EC, INTPA",XI-IATI-EC_INTPA,1.172584523,project-budget-document,Project budget document,Finance and budgets,12,0.033333335,iati,iati,33.333333,35.17753395,2.766301419,1.844200946,monthly,1,1,1.844200946,,,,,,0,
XI-IATI-EC_INTPA-commitments,"EC, INTPA",XI-IATI-EC_INTPA,3.319714149,commitments,Commitments,Finance and budgets,13,0.033333335,iati,iati,33.333333,99.59141948,99.38712972,66.25808648,monthly,1,1,66.25808648,,,,,,0,
XI-IATI-EC_INTPA-conditions,"EC, INTPA",XI-IATI-EC_INTPA,1.308884286,conditions,Conditions,Project attributes,24,0.035,iati,iati,33.333333,37.39669388,6.095041322,4.063360882,monthly,1,1,4.063360882,,,,,,0,
XI-IATI-EC_INTPA-impact-appraisals,"EC, INTPA",XI-IATI-EC_INTPA,2.066184214,impact-appraisals,Pre-project impact appraisals,Performance,35,0.05,iati,iati,33.333333,41.32368427,11.98552691,7.990351274,monthly,1,1,7.990351274,,,,,,0,
XI-IATI-EC_INTPA-current-status,"EC, INTPA",XI-IATI-EC_INTPA,0.999999997,current-status,Current status,Project attributes,20,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_INTPA-results,"EC, INTPA",XI-IATI-EC_INTPA,1.675624966,results,Results,Performance,37,0.05,iati,iati,33.333333,33.51249932,0.268749475,0.179166317,monthly,1,1,0.179166317,,,,,,0,
XI-IATI-EC_INTPA-project-budget,"EC, INTPA",XI-IATI-EC_INTPA,2.249244639,project-budget,Project budget,Finance and budgets,11,0.033333335,iati,iati,33.333333,67.47733579,51.21600418,34.14400279,monthly,1,1,34.14400279,,,,,,0,
XI-IATI-EC_INTPA-tied-aid-status,"EC, INTPA",XI-IATI-EC_INTPA,1.708985165,tied-aid-status,Tied aid status,Joining-up development data,29,0.03,iati,iati,33.333333,56.96617216,35.44925874,23.63283916,monthly,1,1,23.63283916,,,,,,0,
XI-IATI-EC_INTPA-objectives,"EC, INTPA",XI-IATI-EC_INTPA,2.054103606,objectives,Objectives,Performance,34,0.05,iati,iati,33.333333,41.08207211,11.62310867,7.74873911,monthly,1,1,7.74873911,,,,,,0,
XI-IATI-EC_INTPA-finance-type,"EC, INTPA",XI-IATI-EC_INTPA,2.99999999,finance-type,Finance type,Joining-up development data,28,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_INTPA-budget-alignment,"EC, INTPA",XI-IATI-EC_INTPA,2.979063268,budget-alignment,Budget Alignment,Finance and budgets,15,0.033333335,iati,iati,33.333333,89.37189357,84.05784085,56.03856057,monthly,1,1,56.03856057,,,,,,0,
XI-IATI-EC_INTPA-total-organisation-budget,"EC, INTPA",XI-IATI-EC_INTPA,4.166666786,total-organisation-budget,Total organisation budget,Finance and budgets,9,0.041666668,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_INTPA-unique-id,"EC, INTPA",XI-IATI-EC_INTPA,2.499999992,unique-id,Unique ID,Project attributes,25,0.025,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_INTPA-flow-type,"EC, INTPA",XI-IATI-EC_INTPA,2.99999999,flow-type,Flow type,Joining-up development data,26,0.03,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_INTPA-sector,"EC, INTPA",XI-IATI-EC_INTPA,2.458320598,sector,Sectors,Project attributes,22,0.025,iati,iati,33.333333,98.33282394,97.49923641,64.99949094,monthly,1,1,64.99949094,,,,,,0,
XI-IATI-EC_INTPA-description,"EC, INTPA",XI-IATI-EC_INTPA,2.887828335,description,Description,Project attributes,17,0.03,iati,iati,33.333333,96.26094448,94.39141723,62.92761148,monthly,1,1,62.92761148,,,,,,0,
XI-IATI-EC_INTPA-sub-national-location,"EC, INTPA",XI-IATI-EC_INTPA,2.182544033,sub-national-location,Sub-national location,Project attributes,23,0.035,iati,iati,33.333333,62.35840094,43.53760191,29.02506794,monthly,1,1,29.02506794,,,,,,0,
XI-IATI-EC_INTPA-annual-report,"EC, INTPA",XI-IATI-EC_INTPA,1.874999994,annual-report,Annual report,Organisational planning and commitments,4,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_INTPA-allocation-policy,"EC, INTPA",XI-IATI-EC_INTPA,1.874999994,allocation-policy,Allocation policy,Organisational planning and commitments,5,0.01875,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_INTPA-networked-data-implementors,"EC, INTPA",XI-IATI-EC_INTPA,3.333333489,networked-data-implementors,Networked Data - Implementors,Joining-up development data,30,0.033333335,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,
XI-IATI-EC_INTPA-contact-details,"EC, INTPA",XI-IATI-EC_INTPA,0.999999997,contact-details,Contact details,Project attributes,21,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,https://www.ebrd.com/documents/comms-and-bis/ebrd-annual-review-2020.pdf
XI-IATI-EC_INTPA-planned-dates,"EC, INTPA",XI-IATI-EC_INTPA,0.999999997,planned-dates,Planned dates,Project attributes,18,0.01,iati,iati,33.333333,99.99999967,100,66.66666667,monthly,1,1,66.66666667,,,,,,0,https://www.ebrd.com/ebrd-sip.pdf
XI-IATI-EC_INTPA-title,"EC, INTPA",XI-IATI-EC_INTPA,0.998523719,title,Title,Project attributes,16,0.01,iati,iati,33.333333,99.85237189,99.77855834,66.51903889,monthly,1,1,66.51903889,,,,,,0,https://www.ebrd.com/documents/comms-and-bis/ebrd-financial-report-2020.pdf
XI-IATI-EC_INTPA-disbursements-and-expenditures,"EC, INTPA",XI-IATI-EC_INTPA,3.321589648,disbursements-and-expenditures,Disbursements and expenditures,Finance and budgets,14,0.033333335,iati,iati,33.333333,99.64768445,99.47152718,66.31435145,monthly,1,1,66.31435145,,,,,,0,
